Process	Size	Comm_time	Time	Time(Whole)
1	256	0.138792	0.179286	Time = 0.103751 seconds
2	256	0.105646	0.147683	Time = 0.068731 seconds
4	256	0.094762	0.136350	Time = 0.065556 seconds
8	256	0.117955	0.177470	Time = 0.081432 seconds
16	256	0.092224	0.151546	Time = 0.057840 seconds
32	256	0.174720	0.261817	Time = 0.137698 seconds
1	512	1.052899	1.104768	Time = 1.022836 seconds
2	512	0.587721	0.635577	Time = 0.558158 seconds
4	512	0.607842	0.650241	Time = 0.574061 seconds
8	512	0.451192	0.510487	Time = 0.420713 seconds
16	512	0.365973	0.438769	Time = 0.333506 seconds
32	512	0.559245	0.643322	Time = 0.527931 seconds
1	1024	9.027791	9.084058	Time = 8.995214 seconds
2	1024	6.519609	6.574994	Time = 6.491228 seconds
4	1024	5.457058	5.513618	Time = 5.429563 seconds
8	1024	2.858006	2.928567	Time = 2.828579 seconds
16	1024	1.988919	2.070460	Time = 1.961750 seconds
32	1024	2.403981	2.492698	Time = 2.375899 seconds
