Process	Size	Comm_time	Time	Time(Whole)
1	256	0.136668	0.185198	Time = 0.104116 seconds
2	256	0.099228	0.140183	Time = 0.068427 seconds
4	256	0.105556	0.147377	Time = 0.073389 seconds
8	256	0.095415	0.150406	Time = 0.064599 seconds
16	256	0.094144	0.159219	Time = 0.062364 seconds
32	256	0.165850	0.257518	Time = 0.133808 seconds
1	512	1.072914	1.120310	Time = 1.041227 seconds
2	512	0.581137	0.626302	Time = 0.550661 seconds
4	512	0.609688	0.655688	Time = 0.579668 seconds
8	512	0.446770	0.509603	Time = 0.415252 seconds
16	512	0.343429	0.413178	Time = 0.313514 seconds
32	512	0.572279	0.648055	Time = 0.541735 seconds
1	1024	9.156440	9.214785	Time = 9.127372 seconds
2	1024	6.551493	6.608157	Time = 6.523756 seconds
4	1024	5.398449	5.456665	Time = 5.370791 seconds
8	1024	2.898227	2.984503	Time = 2.870221 seconds
16	1024	2.001988	2.087843	Time = 1.972755 seconds
32	1024	2.407609	2.517178	Time = 2.378004 seconds
1	2048	105.524259	105.611198	Time = 105.497287 seconds
2	2048	54.534328	54.619828	Time = 54.506566 seconds
4	2048	41.431800	41.524659	Time = 41.401833 seconds
8	2048	25.298168	25.408979	Time = 25.270773 seconds
16	2048	15.031182	15.162538	Time = 15.000792 seconds
32	2048	13.295821	13.462422	Time = 13.270391 seconds
1	4096	1095.058391	1095.251894	Time = 1095.030046 seconds
2	4096	569.777744	569.970330	Time = 569.754912 seconds
4	4096	412.872944	413.130216	Time = 412.849533 seconds
8	4096	303.062220	303.354548	Time = 303.035359 seconds
16	4096	179.349962	180.428720	Time = 179.321449 seconds
32	4096	115.736727	116.123848	Time = 115.708373 seconds
