Process	Size	Comm_time	Time	Time(Whole)
1	256	0.155271	0.205303	Time = 0.104795 seconds
2	256	0.096864	0.257542	Time = 0.068070 seconds
4	256	0.109130	0.146806	Time = 0.081011 seconds
8	256	0.093789	0.153721	Time = 0.065359 seconds
16	256	0.090028	0.177862	Time = 0.059473 seconds
31	256	0.168081	0.261382	Time = 0.135356 seconds
1	512	1.057449	1.102547	Time = 1.030647 seconds
2	512	0.589795	0.631587	Time = 0.560374 seconds
4	512	0.636913	0.681983	Time = 0.609800 seconds
8	512	0.448338	0.514454	Time = 0.419751 seconds
16	512	0.364894	0.453947	Time = 0.336435 seconds
31	512	0.551962	0.631096	Time = 0.523386 seconds
1	1024	8.923719	8.979245	Time = 8.898766 seconds
2	1024	6.559735	6.613514	Time = 6.532646 seconds
4	1024	4.489726	4.545044	Time = 4.461305 seconds
8	1024	2.876514	2.947745	Time = 2.849567 seconds
16	1024	2.009410	2.087197	Time = 1.981669 seconds
31	1024	2.471362	2.556614	Time = 2.445647 seconds
