Communication;Nodes;Processes;Size;Communication-time;Operations-time;Total-time;
0;1;;256;0.002291;0.014225;0.016516;
0;1;;256;0.001398;0.012741;0.014138;
0;2;;1024;0.022274;0.093610;0.115884;
1;1;;1024;0.024978;0.182968;0.207945;
1;2;;1024;0.021980;0.093423;0.115404;
1;2;;4096;0.355714;1.387527;1.743241;
1;2;;4096;0.357350;1.384035;1.741385;
0;2;;4096;0.334031;1.386020;1.720051;
0;2;;4096;0.333508;10.995687;11.329194;
0;2;;4096;0.333170;1.382461;1.715631;
0;2;;4096;0.332294;1.383404;1.715698;
0;2;;4096;0.333399;10.968660;11.302059;
0;2;;256;0.001401;0.042263;0.043663;
0;2;;256;0.002184;0.008163;0.010347;
0;2;;4096;0.334801;1.382627;1.717429;
0;1;;256;0.002538;0.013225;0.015763;
0;2;;256;0.001531;0.006460;0.007991;
0;4;;256;0.003583;0.003059;0.006642;
0;8;;256;0.011776;0.002632;0.014408;
0;1;;256;0.001261;0.011271;0.012532;
0;2;;256;0.001411;0.005961;0.007372;
0;4;;256;0.003659;0.003053;0.006712;
0;8;;256;0.002225;0.002705;0.004930;
0;1;;256;0.002247;0.013499;0.015746;
0;2;;256;0.002015;0.005971;0.007987;
0;4;;256;0.001479;0.003062;0.004541;
0;8;;256;0.005025;0.002635;0.007660;
0;1;;512;0.006444;0.046445;0.052889;
0;2;;512;0.006734;0.023283;0.030017;
0;4;;512;0.007657;0.020569;0.028226;
0;8;;512;0.008075;0.011015;0.019090;
0;1;;1024;0.021604;0.181248;0.202852;
0;2;;1024;0.021285;0.092957;0.114242;
0;4;;1024;0.030883;0.062095;0.092978;
0;8;;1024;0.031823;0.044759;0.076583;
0;1;;2048;0.078122;0.731056;0.809178;
0;2;;2048;0.113755;0.375003;0.488758;
0;4;;2048;0.089973;0.202095;0.292069;
0;8;;2048;0.136260;0.167466;0.303726;
0;1;;4096;0.304640;2.699941;3.004581;
0;2;;4096;0.334901;1.387541;1.722443;
0;4;;4096;0.362629;0.745156;1.107785;
0;8;;4096;0.528289;0.679956;1.208246;
1;1;;256;0.001376;0.011390;0.012766;
1;2;;256;0.001464;0.005856;0.007320;
1;4;;256;0.002584;0.005954;0.008538;
1;8;;256;0.003891;0.002659;0.006550;
1;1;;512;0.005357;0.045825;0.051182;
1;2;;512;0.005995;0.023295;0.029290;
1;4;;512;0.014548;0.011872;0.026421;
1;8;;512;0.008219;0.010978;0.019196;
1;1;;1024;0.023755;0.182060;0.205815;
1;2;;1024;0.022524;0.093189;0.115713;
1;4;;1024;0.027238;0.048937;0.076175;
1;8;;1024;0.032126;0.046118;0.078244;
1;1;;2048;0.089930;0.730247;0.820177;
1;2;;2048;0.119347;0.375479;0.494826;
1;4;;2048;0.092212;0.198089;0.290301;
1;8;;2048;0.138255;0.168146;0.306401;
1;1;;4096;0.349569;2.694652;3.044221;
1;2;;4096;0.356390;1.383103;1.739493;
1;4;;4096;0.371119;0.730484;1.101603;
1;8;;4096;0.522378;0.676079;1.198457;
0;1;;256;0.001261;0.011778;0.013038;
0;2;;256;0.001826;0.006434;0.008260;
0;4;;256;0.002053;0.005533;0.007586;
0;8;;256;0.003268;0.002627;0.005895;
0;1;;512;0.004921;0.045548;0.050469;
0;2;;512;0.005350;0.023329;0.028679;
0;4;;512;0.007680;0.022112;0.029792;
0;8;;512;0.008025;0.011123;0.019148;
0;1;;1024;0.021011;0.181144;0.202156;
0;2;;1024;0.023240;0.093054;0.116294;
0;4;;1024;0.029997;0.067018;0.097015;
0;8;;1024;0.031766;0.044635;0.076402;
0;1;;2048;0.076359;0.731103;0.807462;
0;2;;2048;0.112698;0.375255;0.487953;
0;4;;2048;0.090875;0.202341;0.293216;
0;8;;2048;0.137301;0.167224;0.304525;
0;1;;4096;0.307279;2.691732;2.999011;
0;2;;4096;0.334951;1.387684;1.722635;
0;4;;4096;0.361558;0.745201;1.106758;
0;8;;4096;0.543915;0.670594;1.214509;
1;1;;256;0.001990;0.013876;0.015866;
1;2;;256;0.002137;0.006300;0.008437;
1;4;;256;0.002068;0.005507;0.007575;
1;8;;256;0.002211;0.002666;0.004877;
1;1;;512;0.005708;0.045316;0.051025;
1;2;;512;0.005408;0.023246;0.028654;
1;4;;512;0.014939;0.012128;0.027067;
1;8;;512;0.008434;0.011002;0.019436;
1;1;;1024;0.024432;0.181183;0.205615;
1;2;;1024;0.022256;0.093096;0.115352;
1;4;;1024;0.023821;0.048975;0.072796;
1;8;;1024;0.031398;0.045028;0.076426;
1;1;;2048;0.089277;0.731130;0.820407;
1;2;;2048;0.119168;0.375454;0.494622;
1;4;;2048;0.096702;0.197931;0.294633;
1;8;;2048;0.137741;0.166971;0.304712;
1;1;;4096;0.352232;2.692854;3.045087;
1;2;;4096;0.358926;1.383770;1.742696;
1;4;;4096;0.376106;0.730898;1.107004;
1;8;;4096;0.545672;0.671002;1.216675;
0;1;;256;0.001417;0.012677;0.014095;
0;2;;256;0.001392;0.005872;0.007265;
0;4;;256;0.002012;0.005518;0.007530;
0;8;;256;0.002216;0.002661;0.004877;
0;1;;512;0.005512;0.046182;0.051695;
0;2;;512;0.005718;0.023314;0.029032;
0;4;;512;0.008341;0.017585;0.025925;
0;8;;512;0.008171;0.010985;0.019156;
0;1;;1024;0.029757;0.181873;0.211630;
0;2;;1024;0.021390;0.093066;0.114456;
0;4;;1024;0.041092;0.048772;0.089863;
0;8;;1024;0.031960;0.044729;0.076689;
0;1;;2048;0.077909;0.730799;0.808707;
0;2;;2048;0.112821;0.375845;0.488666;
0;4;;2048;0.091356;0.202037;0.293393;
0;8;;2048;0.137667;0.167993;0.305660;
0;1;;4096;0.306714;2.700967;3.007680;
0;2;;4096;0.339993;1.382861;1.722854;
0;4;;4096;0.361954;0.745225;1.107179;
0;8;;4096;0.545080;0.670371;1.215450;
1;1;;256;0.001652;0.013036;0.014688;
1;2;;256;0.002026;0.005794;0.007820;
1;4;;256;0.003705;0.003012;0.006718;
1;8;;256;0.002329;0.002644;0.004973;
1;1;;512;0.006622;0.046026;0.052649;
1;2;;512;0.006050;0.023267;0.029317;
1;4;;512;0.015695;0.011886;0.027581;
1;8;;512;0.009841;0.011052;0.020893;
1;1;;1024;0.021384;0.181129;0.202513;
1;2;;1024;0.023839;0.093103;0.116942;
1;4;;1024;0.030607;0.053535;0.084143;
1;8;;1024;0.032621;0.044799;0.077419;
1;1;;2048;0.091362;0.730512;0.821875;
1;2;;2048;0.117999;0.375312;0.493311;
1;4;;2048;0.094914;0.197867;0.292781;
1;8;;2048;0.137730;0.166986;0.304716;
1;1;;4096;0.349750;2.692756;3.042506;
1;2;;4096;0.356452;1.381692;1.738144;
1;4;;4096;0.373267;0.730747;1.104014;
1;8;;4096;0.538806;0.673074;1.211880;
0;16;;256;0.070439;0.001266;0.071705;
0;32;;256;0.210539;0.000488;0.211027;
0;16;;512;0.086428;0.005251;0.091680;
0;32;;512;0.230913;0.002481;0.233394;
0;16;;1024;0.130009;0.021573;0.151582;
0;32;;1024;0.290999;0.010544;0.301543;
0;16;;2048;0.329050;0.074628;0.403679;
0;32;;2048;0.492738;0.036599;0.529338;
0;16;;4096;1.074945;0.328947;1.403891;
0;1;;256;0.001534;0.013526;0.015060;
0;2;;256;0.001497;0.006194;0.007692;
0;4;;256;0.002039;0.005485;0.007524;
0;8;;256;0.002188;0.002823;0.005011;
0;1;;512;0.008297;0.045285;0.053582;
0;2;;512;0.006408;0.023277;0.029685;
0;4;;512;0.015608;0.012188;0.027797;
0;8;;512;0.011590;0.010941;0.022531;
0;1;;1024;0.019884;0.181156;0.201041;
0;2;;1024;0.020605;0.093133;0.113738;
0;4;;1024;0.030050;0.050046;0.080096;
0;8;;1024;0.031754;0.044639;0.076393;
0;1;;2048;0.076106;0.730584;0.806689;
0;2;;2048;0.112211;0.375964;0.488174;
0;4;;2048;0.098645;0.202483;0.301129;
0;8;;2048;0.132436;0.167144;0.299580;
0;1;;4096;0.305866;2.690801;2.996666;
0;2;;4096;0.336188;1.386173;1.722360;
0;4;;4096;0.361430;0.745109;1.106539;
0;8;;4096;0.512785;0.697523;1.210308;
1;1;;256;0.001437;0.012129;0.013566;
1;2;;256;0.001661;0.006197;0.007858;
1;4;;256;0.002127;0.005456;0.007583;
1;8;;256;0.004644;0.002654;0.007299;
1;1;;512;0.005364;0.045314;0.050678;
1;2;;512;0.006372;0.023321;0.029693;
1;4;;512;0.008659;0.021710;0.030369;
1;8;;512;0.010431;0.011052;0.021483;
1;1;;1024;0.024510;0.181517;0.206026;
1;2;;1024;0.022586;0.093225;0.115811;
1;4;;1024;0.023255;0.049103;0.072358;
1;8;;1024;0.031584;0.044572;0.076156;
1;1;;2048;0.088855;0.730546;0.819400;
1;2;;2048;0.116408;0.375166;0.491574;
1;4;;2048;0.107315;0.197771;0.305086;
